cpu_usage,memory_usage,network_in,network_out,login_attempts,failed_logins,access_hour,ip_change,geo_change
10,40,251,185,2,0.0,12,0.0,0.0
17,49,250,158,2,0.0,14,0.0,0.0
33,52,289,126,1,0.0,10,0.0,0.0
20,47,136,276,1,0.0,13,0.0,0.0
26,52,111,260,1,0.0,9,0.0,0.0
17,24,212,197,1,0.0,14,0.0,0.0
44,38,282,204,2,0.0,14,0.0,0.0
44,23,112,198,2,0.0,12,0.0,0.0
42,54,122,228,2,0.0,16,0.0,0.0
14,36,198,248,2,0.0,12,0.0,0.0
48,47,204,154,1,0.0,16,0.0,0.0
37,49,129,105,1,0.0,16,0.0,0.0
16,48,116,296,1,0.0,13,0.0,0.0
18,25,212,194,2,0.0,12,0.0,0.0
17,54,161,232,1,0.0,10,0.0,0.0
21,56,183,201,2,0.0,11,0.0,0.0
43,43,211,102,2,0.0,11,0.0,0.0
42,48,185,280,1,0.0,12,0.0,0.0
32,50,240,122,1,0.0,12,0.0,0.0
33,54,286,152,1,0.0,13,0.0,0.0
46,52,118,264,2,0.0,12,0.0,0.0
44,40,276,182,1,0.0,16,0.0,0.0
49,51,199,244,2,0.0,14,0.0,0.0
31,42,239,184,1,0.0,14,0.0,0.0
36,52,288,177,2,0.0,16,0.0,0.0
44,22,246,209,2,0.0,15,0.0,0.0
10,37,175,100,1,0.0,16,0.0,0.0
44,44,108,150,2,0.0,10,0.0,0.0
46,50,298,272,2,0.0,17,0.0,0.0
23,22,127,103,1,0.0,9,0.0,0.0
12,59,227,289,2,0.0,16,0.0,0.0
10,43,151,292,1,0.0,12,0.0,0.0
14,51,182,212,2,0.0,12,0.0,0.0
35,41,210,131,1,0.0,13,0.0,0.0
23,42,243,133,1,0.0,16,0.0,0.0
48,21,216,191,2,0.0,13,0.0,0.0
36,46,168,194,2,0.0,16,0.0,0.0
18,21,198,171,2,0.0,9,0.0,0.0
24,45,239,138,2,0.0,17,0.0,0.0
24,36,124,253,2,0.0,14,0.0,0.0
35,59,279,261,1,0.0,11,0.0,0.0
22,52,222,281,2,0.0,16,0.0,0.0
41,28,152,217,1,0.0,17,0.0,0.0
48,58,250,102,1,0.0,14,0.0,0.0
41,48,243,222,2,0.0,15,0.0,0.0
13,45,156,149,1,0.0,9,0.0,0.0
39,54,138,111,1,0.0,13,0.0,0.0
46,44,208,292,1,0.0,13,0.0,0.0
32,43,280,153,1,0.0,12,0.0,0.0
48,32,141,232,2,0.0,14,0.0,0.0
24,26,285,156,1,0.0,15,0.0,0.0
38,55,266,244,2,0.0,17,0.0,0.0
45,39,241,211,2,0.0,9,0.0,0.0
22,20,221,146,1,0.0,14,0.0,0.0
41,27,232,250,2,0.0,15,0.0,0.0
16,35,262,184,2,0.0,11,0.0,0.0
31,33,174,241,2,0.0,16,0.0,0.0
37,31,245,165,1,0.0,13,0.0,0.0
11,42,175,174,2,0.0,17,0.0,0.0
15,34,108,278,2,0.0,13,0.0,0.0
37,47,173,202,2,0.0,17,0.0,0.0
37,53,285,265,1,0.0,12,0.0,0.0
29,21,244,291,2,0.0,17,0.0,0.0
39,51,106,137,1,0.0,13,0.0,0.0
20,42,273,149,1,0.0,17,0.0,0.0
37,41,240,197,1,0.0,11,0.0,0.0
34,44,267,181,1,0.0,12,0.0,0.0
48,41,269,129,1,0.0,17,0.0,0.0
42,41,236,178,1,0.0,14,0.0,0.0
10,25,277,190,2,0.0,10,0.0,0.0
36,34,126,278,1,0.0,15,0.0,0.0
22,56,221,290,2,0.0,10,0.0,0.0
12,52,293,151,2,0.0,10,0.0,0.0
48,27,104,265,1,0.0,9,0.0,0.0
15,24,128,178,2,0.0,11,0.0,0.0
17,58,264,129,2,0.0,14,0.0,0.0
36,23,265,205,2,0.0,16,0.0,0.0
18,25,182,150,2,0.0,17,0.0,0.0
46,51,235,180,1,0.0,15,0.0,0.0
42,49,208,232,2,0.0,12,0.0,0.0
33,54,164,128,1,0.0,14,0.0,0.0
24,59,185,231,2,0.0,13,0.0,0.0
41,35,244,237,2,0.0,16,0.0,0.0
41,32,170,283,1,0.0,9,0.0,0.0
33,49,144,244,2,0.0,9,0.0,0.0
21,38,231,173,2,0.0,14,0.0,0.0
48,36,135,116,2,0.0,10,0.0,0.0
11,38,169,183,1,0.0,13,0.0,0.0
12,47,258,168,2,0.0,9,0.0,0.0
46,45,118,133,1,0.0,15,0.0,0.0
26,56,288,105,2,0.0,9,0.0,0.0
11,45,207,152,1,0.0,12,0.0,0.0
11,42,281,293,1,0.0,17,0.0,0.0
37,28,266,225,2,0.0,9,0.0,0.0
32,31,190,142,2,0.0,12,0.0,0.0
46,20,189,214,1,0.0,14,0.0,0.0
41,20,118,210,1,0.0,14,0.0,0.0
42,53,138,250,2,0.0,16,0.0,0.0
10,51,225,282,1,0.0,9,0.0,0.0
28,44,294,179,2,0.0,15,0.0,0.0
11,59,272,194,2,0.0,9,0.0,0.0
35,20,240,217,2,0.0,15,0.0,0.0
41,35,225,243,2,0.0,11,0.0,0.0
15,58,157,107,1,0.0,16,0.0,0.0
41,24,247,231,2,0.0,11,0.0,0.0
13,41,299,203,1,0.0,9,0.0,0.0
20,48,160,231,2,0.0,16,0.0,0.0
26,22,226,283,1,0.0,11,0.0,0.0
47,31,204,124,2,0.0,10,0.0,0.0
33,45,266,294,1,0.0,9,0.0,0.0
14,35,100,195,1,0.0,11,0.0,0.0
43,56,230,294,2,0.0,10,0.0,0.0
15,41,191,254,2,0.0,10,0.0,0.0
31,48,289,192,2,0.0,14,0.0,0.0
20,33,290,259,2,0.0,9,0.0,0.0
25,47,212,277,1,0.0,10,0.0,0.0
42,24,252,160,2,0.0,14,0.0,0.0
18,49,155,221,1,0.0,11,0.0,0.0
83,98,703,995,11,7.0,4,1.0,1.0
80,95,853,710,12,9.0,0,1.0,1.0
87,98,728,863,14,6.0,4,1.0,1.0
86,83,808,812,10,8.0,4,1.0,1.0
82,97,797,886,10,7.0,3,1.0,1.0
89,81,914,994,19,6.0,0,1.0,1.0
89,80,992,931,18,7.0,3,1.0,1.0
98,94,774,926,16,6.0,0,1.0,1.0
93,84,845,797,10,5.0,1,1.0,1.0
81,99,827,754,17,7.0,0,1.0,1.0
80,90,741,810,12,8.0,3,1.0,1.0
97,89,740,851,17,8.0,4,1.0,1.0
86,81,733,945,14,9.0,0,1.0,1.0
87,82,716,768,10,6.0,0,1.0,1.0
80,91,864,988,16,7.0,2,1.0,1.0
82,99,852,949,14,9.0,4,1.0,1.0
87,84,775,735,15,7.0,1,1.0,1.0
94,84,786,938,15,6.0,3,1.0,1.0
84,85,816,847,17,8.0,1,1.0,1.0
82,88,726,926,18,5.0,4,1.0,1.0
98,81,986,943,11,8.0,0,1.0,1.0
80,91,833,900,18,9.0,0,1.0,1.0
94,82,918,853,19,5.0,4,1.0,1.0
87,99,867,772,18,9.0,0,1.0,1.0
81,91,797,900,19,6.0,0,1.0,1.0
82,96,967,995,19,5.0,0,1.0,1.0
93,89,936,716,16,9.0,3,1.0,1.0
93,93,872,828,10,6.0,3,1.0,1.0
90,96,889,916,16,8.0,2,1.0,1.0
95,97,821,760,19,6.0,1,1.0,1.0
83,98,745,803,14,7.0,4,1.0,1.0
99,96,763,741,15,6.0,4,1.0,1.0
84,93,829,724,19,6.0,4,1.0,1.0
93,88,892,738,16,7.0,2,1.0,1.0
95,87,880,990,14,9.0,3,1.0,1.0
97,81,991,830,16,9.0,2,1.0,1.0
86,92,981,928,18,6.0,4,1.0,1.0
89,86,728,807,12,7.0,1,1.0,1.0
86,88,848,871,17,7.0,0,1.0,1.0
80,90,966,801,11,8.0,3,1.0,1.0
